opa_row_id,parcel_number,location,unit,BUILDING_ID,match_method,match_distance_ft,opa_residential,opa_commercial,opa_vacant,units_exact_record,units_min_record,unit_record_method
8871,41217300,1225 N 56TH ST,,1448694,within,0.0,1,0,0,1.0,1,single_family_1
8872,393156800,2526 S SHERIDAN ST,,1439876,within,0.0,1,0,0,1.0,1,single_family_1
8873,92035700,442 WELLESLEY RD,,1153524,within,0.0,1,0,0,1.0,1,single_family_1
8874,302173100,2233 GRAYS FERRY AVE,,1539988,within,0.0,1,0,0,1.0,1,single_family_1
8876,361167900,1317 S 19TH ST,,1382249,within,0.0,1,0,0,,2,multifamily_unknown
8877,111128510,1416 W ALLEGHENY AVE,,1222312,within,0.0,1,0,0,,2,multifamily_unknown
8879,888037638,1034 SPRUCE ST,402,1536999,within,0.0,1,0,0,1.0,1,single_family_1
8881,361048100,1829 MANTON ST,,1384217,within,0.0,1,0,0,1.0,1,single_family_1
8882,273001600,1228 S 46TH ST,,1507030,within,0.0,1,0,0,1.0,1,single_family_1
8883,888092750,219-29 S 18TH ST,905,1375737,within,0.0,1,0,0,1.0,1,single_family_1
8884,403325700,7100 PASCHALL AVE,,1379091,within,0.0,1,0,0,,2,multifamily_unknown
8885,884341535,732 E VENANGO ST,,1017322,within,0.0,0,0,0,0.0,0,non_residential
8887,641038600,7349 REVERE ST,,1293873,within,0.0,1,0,0,1.0,1,single_family_1
8888,102460300,7510 RUGBY ST,,1153512,within,0.0,1,0,0,1.0,1,single_family_1
8889,632055200,713 MARCHMAN RD,,1361553,within,0.0,1,0,0,1.0,1,single_family_1
8890,542418400,7101 EASTWOOD ST,,1261952,within,0.0,1,0,0,1.0,1,single_family_1
8891,51186200,629 PINE ST,,1440574,within,0.0,1,0,0,1.0,1,single_family_1
8892,51218116,429 GASKILL ST,,1464671,within,0.0,1,0,0,1.0,1,single_family_1
8893,133020400,254 ZERALDA ST,,1154887,within,0.0,1,0,0,1.0,1,single_family_1
8895,422364600,4630 MASCHER ST,,1192705,within,0.0,1,0,0,1.0,1,single_family_1
8896,871569040,5148 HAVERFORD AVE,,1483352,within,0.0,1,1,0,,1,residential_unknown
8897,612079300,249 W CALVERT ST,,1101470,within,0.0,1,0,0,1.0,1,single_family_1
8898,302203300,2447 MONTROSE ST,,1383040,within,0.0,1,0,0,1.0,1,single_family_1
8899,181411400,820 ALMOND ST,,1020698,within,0.0,1,0,0,1.0,1,single_family_1
8900,56230600,803 N 5TH ST,,1009501,within,0.0,1,0,0,1.0,1,single_family_1
8901,191346701,2135 N FAIRHILL ST,,1548305,within,0.0,1,0,0,1.0,1,single_family_1
8902,542001900,2135 UNRUH AVE,,1315977,within,0.0,1,0,0,1.0,1,single_family_1
8903,321084711,2125 N 15TH ST,,1536969,within,0.0,1,0,0,,2,multifamily_unknown
8904,361094500,2117 TITAN ST,,1460175,within,0.0,1,0,0,1.0,1,single_family_1
